"country","iso3","year","region","population","production_co2","consumption_co2","net_embodied_carbon","production_co2_per_capita","consumption_co2_per_capita","net_embodied_carbon_per_capita","responsibility_type","longitude","latitude","iso_num"
"Argentina","ARG","2000","South America","37213986","0.143","0.143","0","3.85","3.83","-0.02","balanced","-64","-34","032"
"Australia","AUS","2000","Oceania","19132472","0.35","0.292","-0.058","18.29","15.26","-3.03","net_exporter","134","-25","036"
"Austria","AUT","2000","Europe","8012929","0.066","0.093","0.027","8.26","11.67","3.41","net_importer","14","47","040"
"Bangladesh","BGD","2000","Asia","134544303","0.027","0.026","-0.001","0.2","0.19","-0.01","balanced","90","24","050"
"Belgium","BEL","2000","Europe","10251719","0.127","0.195","0.068","12.37","19.05","6.68","net_importer","4","51","056"
"Brazil","BRA","2000","South America","174018278","0.34","0.354","0.014","1.95","2.03","0.08","balanced","-52","-10","076"
"Canada","CAN","2000","North America","30891800","0.567","0.582","0.015","18.34","18.83","0.49","net_importer","-106","56","124"
"Chile","CHL","2000","South America","15503638","0.059","0.061","0.002","3.77","3.93","0.16","balanced","-71","-30","152"
"China","CHN","2000","Asia","1269581174","3.644","3.236","-0.408","2.87","2.55","-0.32","net_exporter","104","35","156"
"Czechia","CZE","2000","Europe","10236809","0.127","0.118","-0.009","12.43","11.58","-0.85","net_exporter","16","49","203"
"Denmark","DNK","2000","Europe","5339659","0.054","0.068","0.014","10.17","12.76","2.59","net_importer","10","56","208"
"Egypt","EGY","2000","Africa","73083287","0.143","0.135","-0.008","1.95","1.85","-0.1","balanced","30","27","818"
"Finland","FIN","2000","Europe","5176197","0.057","0.078","0.021","11.02","15.06","4.04","net_importer","26","64","246"
"France","FRA","2000","Europe","59483716","0.407","0.514","0.107","6.85","8.63","1.78","net_importer","2","46","250"
"Germany","DEU","2000","Europe","81797255","0.899","1.101","0.202","10.99","13.46","2.47","net_importer","10","51","276"
"Greece","GRC","2000","Europe","10782638","0.103","0.107","0.004","9.55","9.94","0.39","net_importer","22","39","300"
"Hungary","HUN","2000","Europe","10190598","0.058","0.07","0.012","5.72","6.87","1.15","net_importer","20","47","348"
"India","IND","2000","Asia","1057922731","0.987","0.914","-0.073","0.93","0.86","-0.07","balanced","78","22","356"
"Indonesia","IDN","2000","Asia","216077789","0.281","0.241","-0.04","1.3","1.11","-0.19","balanced","113","-2","360"
"Iran","IRN","2000","Middle East","66418661","0.367","0.289","-0.078","5.53","4.35","-1.18","net_exporter","53","32","364"
"Ireland","IRL","2000","Europe","3802589","0.045","0.054","0.009","11.9","14.22","2.32","net_importer","-8","53","372"
"Israel","ISR","2000","Middle East","6111194","0.06","0.072","0.012","9.74","11.78","2.04","net_importer","35","31","376"
"Italy","ITA","2000","Europe","57272200","0.47","0.577","0.107","8.2","10.07","1.87","net_importer","12","43","380"
"Japan","JPN","2000","Asia","127027794","1.26","1.583","0.323","9.92","12.46","2.54","net_importer","138","36","392"
"Kazakhstan","KAZ","2000","Asia","15501108","0.142","0.103","-0.039","9.17","6.64","-2.53","net_exporter","68","48","398"
"Malaysia","MYS","2000","Asia","22967817","0.123","0.107","-0.016","5.35","4.64","-0.71","net_exporter","102","4","458"
"Mexico","MEX","2000","North America","98625553","0.391","0.457","0.066","3.97","4.63","0.66","net_importer","-102","23","484"
"Netherlands","NLD","2000","Europe","16058757","0.172","0.134","-0.038","10.72","8.32","-2.4","net_exporter","5","52","528"
"New Zealand","NZL","2000","Oceania","3857576","0.032","0.033","0.001","8.35","8.55","0.2","net_importer","174","-41","554"
"Nigeria","NGA","2000","Africa","126382490","0.097","0.05","-0.047","0.77","0.39","-0.38","net_exporter","8","9","566"
"Pakistan","PAK","2000","Asia","154879124","0.104","0.107","0.003","0.67","0.69","0.02","balanced","70","30","586"
"Philippines","PHL","2000","Asia","79625401","0.071","0.088","0.017","0.9","1.1","0.2","net_importer","122","13","608"
"Poland","POL","2000","Europe","38258077","0.317","0.294","-0.023","8.29","7.69","-0.6","net_exporter","20","52","616"
"Portugal","PRT","2000","Europe","10283196","0.066","0.088","0.022","6.37","8.6","2.23","net_importer","-8","39","620"
"Romania","ROU","2000","Europe","22046264","0.093","0.088","-0.005","4.23","3.98","-0.25","net_exporter","25","46","642"
"Russia","RUS","2000","Europe/Asia","146717784","1.481","0.986","-0.495","10.09","6.72","-3.37","net_exporter","90","60","643"
"Saudi Arabia","SAU","2000","Middle East","16177733","0.31","0.203","-0.107","19.14","12.56","-6.58","net_exporter","45","24","682"
"South Africa","ZAF","2000","Africa","47159715","0.378","0.287","-0.091","8.02","6.08","-1.94","net_exporter","24","-29","710"
"South Korea","KOR","2000","Asia","46766660","0.44","0.502","0.062","9.41","10.74","1.33","net_importer","128","36","410"
"Spain","ESP","2000","Europe","41019772","0.309","0.334","0.025","7.54","8.13","0.59","net_importer","-4","40","724"
"Sweden","SWE","2000","Europe","8872099","0.055","0.084","0.029","6.19","9.51","3.32","net_importer","15","62","752"
"Switzerland","CHE","2000","Europe","7184003","0.044","0.091","0.047","6.07","12.63","6.56","net_importer","8","47","756"
"Thailand","THA","2000","Asia","63007815","0.167","0.15","-0.017","2.66","2.38","-0.28","net_exporter","101","15","764"
"Turkey","TUR","2000","Europe/Asia","65425957","0.233","0.254","0.021","3.56","3.88","0.32","net_importer","35","39","792"
"Ukraine","UKR","2000","Europe","49556654","0.286","0.217","-0.069","5.76","4.37","-1.39","net_exporter","31","49","804"
"United Arab Emirates","ARE","2000","Middle East","3493583","0.112","0.086","-0.026","32.14","24.54","-7.6","net_exporter","54","24","784"
"United Kingdom","GBR","2000","Europe","59057333","0.569","0.739","0.17","9.64","12.51","2.87","net_importer","-2","54","826"
"United States","USA","2000","North America","281484126","6.023","6.23","0.207","21.4","22.13","0.73","net_importer","-98","39","840"
"Vietnam","VNM","2000","Asia","77154016","0.054","0.037","-0.017","0.7","0.48","-0.22","net_exporter","108","16","704"
"Argentina","ARG","2001","South America","37624817","0.135","0.131","-0.004","3.59","3.48","-0.11","balanced","-64","-34","032"
"Australia","AUS","2001","Oceania","19365438","0.358","0.301","-0.057","18.47","15.53","-2.94","net_exporter","134","-25","036"
"Austria","AUT","2001","Europe","8042233","0.07","0.098","0.028","8.73","12.18","3.45","net_importer","14","47","040"
"Bangladesh","BGD","2001","Asia","136805810","0.031","0.03","-0.001","0.23","0.22","-0.01","balanced","90","24","050"
"Belgium","BEL","2001","Europe","10287005","0.126","0.195","0.069","12.26","18.97","6.71","net_importer","4","51","056"
"Brazil","BRA","2001","South America","176301201","0.346","0.348","0.002","1.96","1.98","0.02","balanced","-52","-10","076"
"Canada","CAN","2001","North America","31213578","0.559","0.566","0.007","17.91","18.14","0.23","net_importer","-106","56","124"
"Chile","CHL","2001","South America","15683852","0.053","0.055","0.002","3.37","3.48","0.11","balanced","-71","-30","152"
"China","CHN","2001","Asia","1278725061","3.724","3.331","-0.393","2.91","2.61","-0.3","net_exporter","104","35","156"
"Czechia","CZE","2001","Europe","10231942","0.127","0.12","-0.007","12.43","11.7","-0.73","net_exporter","16","49","203"
"Denmark","DNK","2001","Europe","5358825","0.056","0.067","0.011","10.43","12.56","2.13","net_importer","10","56","208"
"Egypt","EGY","2001","Africa","74652035","0.126","0.118","-0.008","1.69","1.58","-0.11","balanced","30","27","818"
"Finland","FIN","2001","Europe","5187970","0.063","0.08","0.017","12.05","15.51","3.46","net_importer","26","64","246"
"France","FRA","2001","Europe","59905131","0.412","0.511","0.099","6.87","8.52","1.65","net_importer","2","46","250"
"Germany","DEU","2001","Europe","81933882","0.915","1.097","0.182","11.17","13.39","2.22","net_importer","10","51","276"
"Greece","GRC","2001","Europe","10843166","0.105","0.108","0.003","9.72","10","0.28","net_importer","22","39","300"
"Hungary","HUN","2001","Europe","10166693","0.06","0.073","0.013","5.88","7.22","1.34","net_importer","20","47","348"
"India","IND","2001","Asia","1077898579","1.001","0.922","-0.079","0.93","0.85","-0.08","balanced","78","22","356"
"Indonesia","IDN","2001","Asia","219097905","0.317","0.266","-0.051","1.45","1.21","-0.24","net_exporter","113","-2","360"
"Iran","IRN","2001","Middle East","67452005","0.39","0.313","-0.077","5.78","4.63","-1.15","net_exporter","53","32","364"
"Ireland","IRL","2001","Europe","3862981","0.048","0.056","0.008","12.32","14.51","2.19","net_importer","-8","53","372"
"Israel","ISR","2001","Middle East","6259977","0.063","0.072","0.009","10.07","11.48","1.41","net_importer","35","31","376"
"Italy","ITA","2001","Europe","57305760","0.47","0.563","0.093","8.2","9.82","1.62","net_importer","12","43","380"
"Japan","JPN","2001","Asia","127260144","1.246","1.543","0.297","9.79","12.12","2.33","net_importer","138","36","392"
"Kazakhstan","KAZ","2001","Asia","15575550","0.138","0.117","-0.021","8.86","7.51","-1.35","net_exporter","68","48","398"
"Malaysia","MYS","2001","Asia","23526535","0.131","0.113","-0.018","5.56","4.79","-0.77","net_exporter","102","4","458"
"Mexico","MEX","2001","North America","100099101","0.407","0.462","0.055","4.07","4.61","0.54","net_importer","-102","23","484"
"Netherlands","NLD","2001","Europe","16182705","0.177","0.132","-0.045","10.97","8.13","-2.84","net_exporter","5","52","528"
"New Zealand","NZL","2001","Oceania","3891763","0.034","0.034","0","8.83","8.82","-0.01","balanced","174","-41","554"
"Nigeria","NGA","2001","Africa","129862594","0.1","0.071","-0.029","0.77","0.54","-0.23","net_exporter","8","9","566"
"Pakistan","PAK","2001","Asia","159270910","0.105","0.108","0.003","0.66","0.68","0.02","balanced","70","30","586"
"Philippines","PHL","2001","Asia","81401488","0.07","0.088","0.018","0.86","1.09","0.23","net_importer","122","13","608"
"Poland","POL","2001","Europe","38247359","0.313","0.289","-0.024","8.19","7.56","-0.63","net_exporter","20","52","616"
"Portugal","PRT","2001","Europe","10354329","0.065","0.09","0.025","6.3","8.73","2.43","net_importer","-8","39","620"
"Romania","ROU","2001","Europe","21919916","0.099","0.095","-0.004","4.51","4.32","-0.19","balanced","25","46","642"
"Russia","RUS","2001","Europe/Asia","146117290","1.518","1.103","-0.415","10.39","7.55","-2.84","net_exporter","90","60","643"
"Saudi Arabia","SAU","2001","Middle East","17041405","0.324","0.226","-0.098","19.03","13.26","-5.77","net_exporter","45","24","682"
"South Africa","ZAF","2001","Africa","47566805","0.372","0.274","-0.098","7.81","5.77","-2.04","net_exporter","24","-29","710"
"South Korea","KOR","2001","Asia","47043467","0.456","0.504","0.048","9.69","10.71","1.02","net_importer","128","36","410"
"Spain","ESP","2001","Europe","41245602","0.311","0.335","0.024","7.54","8.12","0.58","net_importer","-4","40","724"
"Sweden","SWE","2001","Europe","8896018","0.056","0.077","0.021","6.27","8.65","2.38","net_importer","15","62","752"
"Switzerland","CHE","2001","Europe","7226391","0.045","0.11","0.065","6.24","15.16","8.92","net_importer","8","47","756"
"Thailand","THA","2001","Asia","63651137","0.172","0.156","-0.016","2.71","2.46","-0.25","net_exporter","101","15","764"
"Turkey","TUR","2001","Europe/Asia","66245125","0.217","0.204","-0.013","3.27","3.08","-0.19","balanced","35","39","792"
"Ukraine","UKR","2001","Europe","49106854","0.304","0.255","-0.049","6.19","5.18","-1.01","net_exporter","31","49","804"
"United Arab Emirates","ARE","2001","Middle East","3723596","0.102","0.09","-0.012","27.36","24.09","-3.27","net_exporter","54","24","784"
"United Kingdom","GBR","2001","Europe","59288095","0.578","0.729","0.151","9.75","12.3","2.55","net_importer","-2","54","826"
"United States","USA","2001","North America","284279634","5.904","6.149","0.245","20.77","21.63","0.86","net_importer","-98","39","840"
"Vietnam","VNM","2001","Asia","77969357","0.061","0.042","-0.019","0.78","0.54","-0.24","net_exporter","108","16","704"
"Argentina","ARG","2002","South America","38029345","0.125","0.082","-0.043","3.29","2.17","-1.12","net_exporter","-64","-34","032"
"Australia","AUS","2002","Oceania","19595356","0.362","0.321","-0.041","18.5","16.38","-2.12","net_exporter","134","-25","036"
"Austria","AUT","2002","Europe","8081640","0.072","0.096","0.024","8.91","11.92","3.01","net_importer","14","47","040"
